user,timestamp,tweet,lat,lon
@ayalapj,Tue Apr 15 06:13:55 +0000 2014,Queda una semana para el #bando2014 #BandodelaHuerta y este ao tenemos dos invitados de lujo!!!!,37.99814022,-1.13276459
@Gissell_Tytta,Tue Apr 15 06:14:25 +0000 2014,La luna les esta viendo la cara ......,,
@mariajo_cl2,Tue Apr 15 06:17:44 +0000 2014,Bdddd,38.0449018,-1.20705
@EDU_1997_,Tue Apr 15 06:17:45 +0000 2014,Me paso la noche dndoles vueltas a las almohadas para dormir sobre el lado fresco.,38.0301523,-1.1264079
@Gissell_Tytta,Tue Apr 15 06:18:02 +0000 2014,Y le hicieron TT a la Luna ....,,
@EDU_1997_,Tue Apr 15 06:18:13 +0000 2014,"Por cierto, buenos das",38.0301493,-1.1264546
@Gissell_Tytta,Tue Apr 15 06:19:22 +0000 2014,@roycenaticaa_ La luna cada vez se ve mas oscura cada vez mas. Dios es perfecto y todo lo que creo es perfecto!,,
@marianicolas92,Tue Apr 15 06:19:22 +0000 2014,"Buenas noches, a ver si descanso un poquito...",37.9727904,-1.0688082
@EDU_1997_,Tue Apr 15 06:19:46 +0000 2014,"@iEros_Amor: A la vida de todo hombre, siempre llega una mujer especial para serle fiel por Amor y no por compromiso. http://t.co/SOcq9TjP7D",38.030171700000004,-1.1263767
@Maria_Barcelo03,Tue Apr 15 06:20:34 +0000 2014,Buenos dias.,37.94003417,-1.14929642
@maykaste,Tue Apr 15 06:21:29 +0000 2014,Buenos das!  Himno Real Murcia C.F. - Julio Reyes (letra) y Ju: http://t.co/4C84PHqA1j,37.9838095,-1.1394483
@EDU_1997_,Tue Apr 15 06:22:08 +0000 2014,"""@iEros_Amor: Supe que era Amor, porque si no eras t, no sera nadie ms. http://t.co/1wCNPClb6H""",38.030182399999994,-1.1264436000000002
@beatrizaliagalo,Tue Apr 15 06:24:20 +0000 2014,"Buenos das, desde bien temprano ya en el fsio !!!",37.941029799999995,-1.1453776000000002
@VikingoVicky,Tue Apr 15 06:25:08 +0000 2014,Buenos das ^^,37.9420196,-1.1403098999999999
@Gissell_Tytta,Tue Apr 15 06:25:14 +0000 2014,"Sabes qu es lo peor? Que si vuelves, te vuelvo a aceptar.",,
@Bdevaso,Tue Apr 15 06:25:57 +0000 2014,Buensimos diaaaaaaaaaas,37.9901969,-1.1144105
@EDU_1997_,Tue Apr 15 06:26:11 +0000 2014,Ahora a ver a la tontica un rato ^^,38.030151000000004,-1.126448
@Gissell_Tytta,Tue Apr 15 06:27:23 +0000 2014,"Vodka, por favor  .....",,
@Maria_Barcelo03,Tue Apr 15 06:27:30 +0000 2014,Bieeen. Por fin chacho.,37.94003098,-1.14929847
@EDU_1997_,Tue Apr 15 06:28:18 +0000 2014,La quiero ms ^^,38.0301389,-1.1264742
@Roouus97,Tue Apr 15 06:31:13 +0000 2014,"Buenos das,con este dolor no hay quien duerma",38.029041799999995,-1.0199527
@KittyGGGlobo,Tue Apr 15 06:33:47 +0000 2014,Hoy va a ser el primer y mejor da de playa junto a mis amores,37.9915193,-1.1342546
@Gissell_Tytta,Tue Apr 15 06:34:40 +0000 2014,"No quiero arruinarles el eclipse, pero al final Edward se queda con Bella &gt;&lt;'",,
@Alfonsecuencias,Tue Apr 15 06:34:55 +0000 2014,Bueno pues aqu tenis el comienzo d nuestro estreno en directo d @FMI_band muchsimas gracias a todos por liarla as http://t.co/owrtqRA28Y,37.98599946,-1.12388315
@Esthertrek,Tue Apr 15 06:35:03 +0000 2014,La seora de enfrente de m en el metro tiene un horrible tatuaje en la mamella. Le hara una foto para ensernoslo pero quedara raro...,,
@Gissell_Tytta,Tue Apr 15 06:36:16 +0000 2014,"Luna sale rpido, que mi mama ya mismo  me llama ...",,
@PaulaRobledano,Tue Apr 15 06:37:31 +0000 2014,@Cats: Pretty much. http://t.co/ob5OOSpPaU ,37.90448716,-1.21814081
@Gissell_Tytta,Tue Apr 15 06:37:32 +0000 2014,Oe ya estoy  en Pasaje ase rato mira DM @erikitta_97,,
@JoseConesa13,Tue Apr 15 06:38:12 +0000 2014,Buenos diiiiaaas,37.990755799999995,-1.1000725
@mariadeltooro,Tue Apr 15 06:39:03 +0000 2014,@Juliacastillo00 felicidadesss  espero verte en el conciertoo ,37.98380921,-1.14007849
@Gissell_Tytta,Tue Apr 15 06:39:04 +0000 2014,"@PeluconPisaLodo Por primera vez en nuestras vidas veremos una Luna roja en nuestro cielo, y la caravana de emelec aun no llega!!!!",,
@jignaciomp,Tue Apr 15 06:39:14 +0000 2014,(Otro posible agujero negro) La UDEF investiga a la Junta de Andaluca por otro fraude masivo de 2.000 millones http://t.co/0xMir9gkE4,37.98316473,-1.13254208
@Gissell_Tytta,Tue Apr 15 06:39:42 +0000 2014,"@melany_sc ajjajajajja era para que se rian un rato, ya que ni la luna sale :(",,
@Gissell_Tytta,Tue Apr 15 06:40:49 +0000 2014,@majocedillo_12 Despus que uno es el que se porta mal !!,,
@Josesorito,Tue Apr 15 06:41:28 +0000 2014,Jajajaja vamos a por el martes http://t.co/9R6os8kI8j,38.06987804,-1.21631205
@MJavivi,Tue Apr 15 06:41:52 +0000 2014,Buenoss diasss por la maanaa,37.99948126,-1.13641256
@Gissell_Tytta,Tue Apr 15 06:41:57 +0000 2014,"Ya ces Luna, no te hagas de rogar ...",,
@Gissell_Tytta,Tue Apr 15 06:43:27 +0000 2014,@melany_sc ajajjaaa si por que esa luna mucho se hace de rogar :( me duermo y no sale jajja :( :(,,
@YainesMalcolm,Tue Apr 15 06:43:36 +0000 2014,A estas horas de la maana ya he echado 2 broncas telefnicas. Normalmente soy una persona encantadora. Os lo juro,37.99979456,-1.13590982
@Gissell_Tytta,Tue Apr 15 06:44:31 +0000 2014,"@bryanvalles96 Mira Luna Putaa, voy a desvelarme porti, y sinoo te veoo roja, ni creaas que el proximo ao voy a desvelarme, veras cdtm !!!",,
@33_ignacio,Tue Apr 15 06:45:12 +0000 2014,Paisaje idlico. http://t.co/A9RQMmUZeD,37.9813151,-1.1301447
@Gissell_Tytta,Tue Apr 15 06:45:36 +0000 2014,Y ami que no me gusta esperar ...,,
@33_ignacio,Tue Apr 15 06:45:56 +0000 2014,Nubes de algodn. http://t.co/jogMNifEMC,37.981302899999996,-1.1301086
@33_ignacio,Tue Apr 15 06:47:11 +0000 2014,Nubes de algodn. http://t.co/mFsbByjCuX,37.9812784,-1.1300894
@Virca5,Tue Apr 15 06:47:22 +0000 2014,Te has ganado mi cario incondicional,38.028780499999996,-1.0658816999999998
@Virca5,Tue Apr 15 06:47:33 +0000 2014,Buenos das mundo,38.0287705,-1.0658961
@AnaGarcia_01,Tue Apr 15 06:47:46 +0000 2014,"""@Accionpoetadice: http://t.co/zdVSNtXDhX""",38.0307237,-1.0880328000000001
@Bdevaso,Tue Apr 15 06:48:18 +0000 2014,Hoy toca una de playa con los putos guatemaltecos y compaa,37.9901969,-1.1144105
@33_ignacio,Tue Apr 15 06:48:32 +0000 2014,Beirut. Lbano. http://t.co/EAUdAL15Q5,37.9812784,-1.1300894
@Gissell_Tytta,Tue Apr 15 06:48:37 +0000 2014,"@melany_sc ajjajaj yo llevo horas y horas aki,  y nada :( ya mismo nos dormimos y no vemos nada :(",,
@MolinadeSegura,Tue Apr 15 06:48:41 +0000 2014,"Buenos das,  RT @josemmol : HUERTA DE ABAJO #MolinadeSegura AMANECER DE HOY http://t.co/vMODAp5Xx7",,
@Gissell_Tytta,Tue Apr 15 06:49:33 +0000 2014,"Luna sale, as no te pongas en roja, pero sale, si ....",,
@DARaumi,Tue Apr 15 06:49:34 +0000 2014,"@mariajo_moreno Y si la oracin es imperativa? Por ejemplo: ""Pablito, cmete las espinacas o no hay postre."" ""Lzaro, levantarte y anda.""",37.996426,-1.1401873
@IbizaHilton,Tue Apr 15 06:50:40 +0000 2014,Joffrey rest in peace,,
@MolinadeSegura,Tue Apr 15 06:51:00 +0000 2014,"Bien + RT @RosaRodaNews : Concejala de Cultura en #MolinadeSegura, @MariolaRobles se pondr al frente del Instituto de Turismo de la regin.",,
@ULove28,Tue Apr 15 06:51:52 +0000 2014,Tener que despertarme a estas horas para hacerme una puta analtica JODE.  Buenos Das &lt;3,,
@AngelaAldeguerS,Tue Apr 15 06:51:56 +0000 2014,Rallada matutina,,
@FMG_01,Tue Apr 15 06:52:06 +0000 2014,Buenos das #tuiteros,38.0471346,-1.2096195
@33_ignacio,Tue Apr 15 06:52:15 +0000 2014,http://t.co/Q65k6lfYFw,37.9812784,-1.1300894
@Gissell_Tytta,Tue Apr 15 06:52:29 +0000 2014,Solo yo se como soy y a donde voy,,
@33_ignacio,Tue Apr 15 06:53:54 +0000 2014,Bellos paraguas. http://t.co/wMzu3z7SAo,37.9812844,-1.1300683
@LaModelo_Marga,Tue Apr 15 06:54:31 +0000 2014, ,,
@misstyles13,Tue Apr 15 06:54:35 +0000 2014,#You&amp;I #3DaysToGo,37.985527000000005,-1.1489516000000002
@33_ignacio,Tue Apr 15 06:54:45 +0000 2014,Paraguas. http://t.co/l0tH0zGXoK,37.9812844,-1.1300683
@JoseConesa13,Tue Apr 15 06:55:21 +0000 2014,Porque coo estoy despierto yaaaaa??,37.9907652,-1.1000473
@33_ignacio,Tue Apr 15 06:55:38 +0000 2014,Venecia. http://t.co/1fT8zRoy1b,37.9812948,-1.1300793
@AnaHergo,Tue Apr 15 06:55:43 +0000 2014,Y esto de levantarse ahora a que se debe?!,37.9951367,-1.1395236
@SmileAnitaah,Tue Apr 15 06:55:57 +0000 2014,Oye primooo haciendo amigos y enemigos,37.9779167,-1.1314966999999998
@dy_pau,Tue Apr 15 06:56:16 +0000 2014,@IngridMHM99 cario mio! Muchas felicidades! #TeQuiero ,37.9758646,-1.0644312
@33_ignacio,Tue Apr 15 06:56:25 +0000 2014,Venecia. http://t.co/0nPvZSjA9u,37.981305799999994,-1.1301036
@33_ignacio,Tue Apr 15 06:56:47 +0000 2014,Montaas de China. http://t.co/bi7N9BlxVz,37.9813019,-1.1301086
@DARaumi,Tue Apr 15 06:57:01 +0000 2014,"@maruizlv Por desgracia, hemos llegado a un punto en el que parece hasta normal. #PuertaGiratoria",37.9962799,-1.1402868999999998
@Ciudaddeltrader,Tue Apr 15 06:57:48 +0000 2014,Buenos das traders !,,
@lolonavarrogil,Tue Apr 15 06:58:07 +0000 2014,Se precisa masaje urgente...,38.018261200000005,-1.0322046999999999
@1998Jesusfer,Tue Apr 15 06:58:15 +0000 2014,buenos dias,,
@mariadeltooro,Tue Apr 15 06:58:15 +0000 2014,@Juliacastillo00 eso espero ,37.9838218,-1.14007523
@AnaHergo,Tue Apr 15 06:58:33 +0000 2014,Odio que los cereales se pongan blandos en la leche,37.9951687,-1.1395476999999998
@svarovski_,Tue Apr 15 06:58:34 +0000 2014,TERRETA URBANA. Organizado por @insitudance y Ayto. de Alicante. 02/03/04 de Mayo. Alojamiento low cost. LET'S DANCE http://t.co/XNNQSXewqD,38.347198299999995,-0.4737513
@dy_pau,Tue Apr 15 06:58:50 +0000 2014,Buenos dias! Vamos a @Adanermurcia  #EchoDeMenosABegoa,37.97586939999999,-1.0644383
@Gissell_Tytta,Tue Apr 15 06:59:12 +0000 2014,Ojitos Rojos ...,,
@AngelaAldeguerS,Tue Apr 15 06:59:39 +0000 2014,"Cosas como esta, hacen de m una actitud pasota...",,
@martukgz,Tue Apr 15 06:59:46 +0000 2014,Malos malisimos dias,37.9905086,-1.09802917
@sergioolmoA,Tue Apr 15 07:00:09 +0000 2014,preparando ruta de 28km para el jueves por la maana.,37.980568700000006,-1.1370973999999998
@33_ignacio,Tue Apr 15 07:00:33 +0000 2014,http://t.co/EwzVTrEbnE,37.981282799999995,-1.130056
@JosanGonzalez21,Tue Apr 15 07:00:33 +0000 2014,"Aprendemos haciendo, aprendemos de los errores, aprendemos de las historias.. #BuenosDas",37.9955011,-1.1125597
@cemetry_gates,Tue Apr 15 07:01:02 +0000 2014,#JFT96 today they are remembered more than ever.,37.99500862,-1.14033773
@33_ignacio,Tue Apr 15 07:01:14 +0000 2014,Bonito amanecer. http://t.co/pSjegJEy5E,37.9812904,-1.1301106
@AnaHergo,Tue Apr 15 07:01:45 +0000 2014,Me gustaria tocar el piano ahora a ver que pasa,37.995166499999996,-1.139529
@pepehdez98,Tue Apr 15 07:01:58 +0000 2014,"Buen partido equipo, ahora a mejorar http://t.co/d5uODmWuWS",37.967859000000004,-1.1070263999999999
@Gissell_Tytta,Tue Apr 15 07:02:19 +0000 2014,"Luna no te acholes, y sal rpido ,",,
@ULove28,Tue Apr 15 07:02:22 +0000 2014,9:02,,
@AnaHergo,Tue Apr 15 07:02:39 +0000 2014,Asi te has quedado sin nadie,37.995172,-1.1395366000000002
@Aquiperez,Tue Apr 15 07:02:55 +0000 2014,Para NY!!!!!,37.984613700000004,-1.1278552
@AnaHergo,Tue Apr 15 07:02:57 +0000 2014,Cada uno tiene lo que se merece,37.995172,-1.139534
